pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
merged,jaccard_vs_historical,mean_20seed_delta_top1,Q4,970,0.5384615384615384,1.0,-0.001237113402061856
merged,jaccard_vs_historical,mean_20seed_delta_mrr,Q1,893,0.06666666666666667,0.2727272727272727,-0.009090545512717966
merged,jaccard_vs_historical,mean_20seed_delta_mrr,Q2,1023,0.2857142857142857,0.38461538461538464,0.00015537479247156705
merged,jaccard_vs_historical,mean_20seed_delta_mrr,Q3,928,0.4,0.5,-0.00988563474958949
merged,jaccard_vs_historical,mean_20seed_delta_mrr,Q4,970,0.5384615384615384,1.0,-0.0001413025691376212
merged,shared_candidate_count,mean_20seed_delta_top1,Q1,720,1.0,3.0,-0.014097222222222221
merged,shared_candidate_count,mean_20seed_delta_top1,Q2,1438,4.0,5.0,-0.007719054242002783
merged,shared_candidate_count,mean_20seed_delta_top1,Q3,830,6.0,6.0,-0.017650602409638554
merged,shared_candidate_count,mean_20seed_delta_top1,Q4,826,7.0,10.0,0.0016343825665859576
merged,shared_candidate_count,mean_20seed_delta_mrr,Q1,720,1.0,3.0,-0.007109292328042328
merged,shared_candidate_count,mean_20seed_delta_mrr,Q2,1438,4.0,5.0,-0.003972269134821291
merged,shared_candidate_count,mean_20seed_delta_mrr,Q3,830,6.0,6.0,-0.008794104991394146
merged,shared_candidate_count,mean_20seed_delta_mrr,Q4,826,7.0,10.0,0.0010412583112340982
merged,kendall_order_vs_historical,mean_20seed_delta_top1,Q1,910,-1.0,0.3333333333333334,-0.002582417582417582
merged,kendall_order_vs_historical,mean_20seed_delta_top1,Q2,993,0.3571428571428571,0.6,-0.020896273917421954
merged,kendall_order_vs_historical,mean_20seed_delta_top1,Q3,797,0.611111111111111,0.7999999999999999,0.003513174404015058
merged,kendall_order_vs_historical,mean_20seed_delta_top1,Q4,886,0.8095238095238096,1.0,-0.011343115124153499
merged,kendall_order_vs_historical,mean_20seed_delta_mrr,Q1,910,-1.0,0.3333333333333334,-0.0013579277864992157
merged,kendall_order_vs_historical,mean_20seed_delta_mrr,Q2,993,0.3571428571428571,0.6,-0.01047836842021132
merged,kendall_order_vs_historical,mean_20seed_delta_mrr,Q3,797,0.611111111111111,0.7999999999999999,0.0018271145764872246
merged,kendall_order_vs_historical,mean_20seed_delta_mrr,Q4,886,0.8095238095238096,1.0,-0.005626769142570497
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q1,941,0.7973598546419036,0.9988655206218616,-0.014771519659936238
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q2,960,0.9988660470178248,0.9990520241892572,-0.008854166666666666
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q3,959,0.9990520360375403,0.9992232577849521,-0.007351407716371221
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q4,954,0.9992234465153581,0.9997440486044993,-0.005345911949685534
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q1,941,0.7973598546419036,0.9988655206218616,-0.0076639382284972085
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q2,960,0.9988660470178248,0.9990520241892572,-0.004357783564814815
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q3,959,0.9990520360375403,0.9992232577849521,-0.003790530810864492
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q4,954,0.9992234465153581,0.9997440486044993,-0.002347467638348142
merged,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q1,953,0.18432728595509795,0.38477641376180854,-0.012329485834207765
merged,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q2,954,0.38487533569350163,0.4415448316261528,-0.014360587002096437
merged,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q3,953,0.441695483907674,0.511456841256864,-0.004984260230849948
merged,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q4,954,0.5115491216743691,0.7882066225327459,-0.004559748427672956
merged,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q1,953,0.18432728595509795,0.38477641376180854,-0.005899415380002998
merged,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q2,954,0.38487533569350163,0.4415448316261528,-0.007107895743902034
merged,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q3,953,0.441695483907674,0.511456841256864,-0.0023976290411232702
merged,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q4,954,0.5115491216743691,0.7882066225327459,-0.0027063159295863696
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q1,953,0.24324324324324326,0.7258064516129032,-0.012644281217208815
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q2,955,0.726027397260274,0.8064516129032258,-0.014240837696335076
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q3,950,0.8070175438596491,0.8548387096774194,-0.002157894736842106
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q4,956,0.855072463768116,1.0,-0.007165271966527196
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q1,953,0.24324324324324326,0.7258064516129032,-0.006642890454537884
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q2,955,0.726027397260274,0.8064516129032258,-0.0077889969251225795
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q3,950,0.8070175438596491,0.8548387096774194,-0.0006935254803675867
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q4,956,0.855072463768116,1.0,-0.002972620707976356
